Frame,X,Y,Visibility,L,Theta
0,0,0,0,-inf,-inf
1,372,71,1,8.193759799003601,-39.91061277796974
2,0,0,0,-inf,-inf
3,674,408,1,2.0613332092761993,75.12755935152889
4,674,409,1,2.0,90.0
5,673,410,1,2.1572775095701218,-78.69006752606366
6,0,0,0,-inf,-inf
7,0,0,0,-inf,-inf
8,0,0,0,-inf,-inf
9,0,0,0,-inf,-inf
10,0,0,0,-inf,-inf
11,0,0,0,-inf,-inf
12,0,0,0,-inf,-inf
13,0,0,0,-inf,-inf
14,655,334,1,1.7084192335605621,-74.9293072241479
15,654,320,1,1.368055284023285,59.678876771069056
16,653,318,1,2.6056497395038605,82.7975017946759
17,650,297,1,3.2114219292998314,80.20686586512832
18,647,286,1,3.311430126428604,72.58408237971855
19,643,272,1,2.420233517885208,67.64252563857036
20,640,265,1,2.474873900413513,45.00000000021837
21,637,258,1,2.0,0.0
22,637,259,1,2.658357858657837,-12.65644190085551
23,634,259,1,2.474873900413513,45.00000000021837
24,630,260,1,2.2360678911209106,-63.43494882304906
25,627,265,1,2.0,0.0
26,625,272,1,2.474873900413513,-45.00000000021837
27,620,284,1,2.49979504942894,-53.86381472721236
28,620,284,1,2.4928410351276398,-57.46714755107179
29,618,297,1,3.0,90.0
30,615,317,1,2.474873900413513,-45.00000000021837
31,612,335,1,3.2428819835186005,-78.23109700268265
32,610,354,1,2.48672953248024,-30.96375653187734
33,0,0,0,-inf,-inf
34,0,0,0,-inf,-inf
35,0,0,0,-inf,-inf
36,0,0,0,-inf,-inf
37,0,0,0,-inf,-inf
38,550,468,1,6.960289105772972,67.04371021754582
39,0,0,0,-inf,-inf
40,559,363,1,2.1213203072547913,0.0
41,555,341,1,2.5,90.0
42,552,328,1,3.0870558619499207,66.71020029677418
43,549,317,1,2.474873900413513,45.00000000021837
44,546,309,1,2.631325826048851,80.44351313317426
45,545,305,1,2.474873900413513,45.00000000021837
46,545,303,1,2.658227890729904,-30.963756531917248
47,543,302,1,2.5,0.0
48,543,304,1,2.433122396469116,-13.282525589336508
49,543,308,1,2.6771047115325928,62.05224815829985
50,544,301,1,2.6895600259304047,-65.4835573872303
51,546,285,1,3.0235248673707247,88.60072814599953
52,547,287,1,2.1907768547534943,-74.98643788332758
53,550,277,1,2.1213203072547913,0.0
54,551,268,1,2.051151856780052,-70.20593457603235
55,557,273,1,1.4729346334934235,-79.09929525692472
56,566,278,1,2.0344256684184074,85.26883889592635
57,578,288,1,1.5,90.0
58,576,289,1,1.9176059514284134,-19.684658621477876
59,584,297,1,2.8944051563739777,52.14358614246443
60,0,0,0,-inf,-inf
61,0,0,0,-inf,-inf
62,0,0,0,-inf,-inf
63,0,0,0,-inf,-inf
64,0,0,0,-inf,-inf
65,636,370,1,2.0422128587961197,68.10943761756566
66,0,0,0,-inf,-inf
67,656,365,1,2.059431664645672,-78.5631674046564
68,670,366,1,1.7500994503498077,-70.19465588091873
69,678,371,1,0.7071067690849304,44.99999999937468
70,682,372,1,2.9071634113788605,35.29146700706851
71,693,379,1,2.8284270763397217,45.00000000028032
72,706,391,1,3.1858814358711243,44.33285611457179
73,717,404,1,4.70900946855545,54.661093189395714
74,729,422,1,4.994683086872101,50.48760065963309
75,0,0,0,-inf,-inf
76,0,0,0,-inf,-inf
77,0,0,0,-inf,-inf
78,0,0,0,-inf,-inf
79,647,322,1,0.0,0.0
80,597,304,1,2.2245628237724304,32.379735367523914
81,581,300,1,5.093417480587959,8.623948852821078
82,577,299,1,5.851079374551773,18.789286998034754
83,553,296,1,4.5,2.730999366782067e-11
84,530,298,1,5.5157844461500645,-2.3309365476092063
85,507,290,1,6.758669406175613,42.40334773021848
86,483,265,1,7.4307800233364105,43.68483574512088
87,461,246,1,6.518603831529617,31.694549991359136
88,461,245,1,5.6832095682621,33.36294921656283
89,438,231,1,5.40821036696434,34.065129632283465
90,419,224,1,4.722860053181648,13.098825809588979
91,399,220,1,3.494354546070099,19.423447924417033
92,429,233,1,5.163337454199791,25.16032777309779
93,460,249,1,8.926376461982727,22.940058330768906
94,0,0,0,-inf,-inf
95,495,270,1,10.285234332084656,31.629540729347152
96,527,294,1,9.703100949525833,36.37352189891798
97,558,309,1,5.406595230102539,-35.139938379478124
98,577,296,1,5.405992090702057,-32.00644366398073
99,595,288,1,5.3850842118263245,-22.115046612729216
100,596,288,1,4.915767312049866,-27.36134026443964
101,613,282,1,3.7551322281360626,-13.650267138235955
102,632,281,1,4.007782072760165,-0.9555708658452385
103,650,280,1,3.602032870054245,7.656835032061087
104,668,287,1,3.9695081412792206,19.713901098018102
105,685,293,1,4.265627801418304,28.167604546390557
106,685,293,1,4.711033016443253,34.885386304423434
107,704,306,1,4.684025913476944,38.78309378744035
108,720,319,1,4.965903878211975,43.56489415440832
109,736,335,1,4.94974759221077,44.99472996886407
110,0,0,0,-inf,-inf
111,0,0,0,-inf,-inf
112,0,0,0,-inf,-inf
113,0,0,0,-inf,-inf
114,814,359,1,5.139028310775757,-25.706491647884114
115,835,350,1,4.73157475143671,-14.385514703013298
116,858,347,1,5.52257277071476,-4.836020198106677
117,877,346,1,5.02178581058979,1.324936493852013
118,881,347,1,3.714915193617344,10.511618383100984
119,900,349,1,4.609360545873642,13.2943489019063
120,921,355,1,5.381082117557526,19.57017720381648
121,941,365,1,5.404692381620407,31.589462585848484
122,962,378,1,6.004342764616013,37.396638353490935
123,983,395,1,5.406176179647446,35.30592653216724
124,982,395,1,5.308031260967255,38.23633707042129
125,1002,414,1,6.725084602832794,43.2857071844314
126,1020,435,1,3.905051201581955,49.84249995590608
127,0,0,0,-inf,-inf
128,917,368,1,7.377273574471474,26.162964492399425
129,859,341,1,13.283695235848427,20.698055258245187
